ts,price
01/01/1976,12.8
01/01/1977,13.92
01/01/1978,14.02
01/01/1979,31.61
01/01/1980,36.83
01/01/1981,35.93
01/01/1982,32.97
01/01/1983,29.55
01/01/1984,28.78
01/01/1985,27.56
01/01/1986,14.43
01/01/1987,18.44
01/01/1988,14.92
01/01/1989,18.23
01/01/1990,23.73
01/01/1991,20.0
01/01/1992,19.32
01/01/1993,16.97
01/01/1994,15.82
01/01/1995,17.02
01/01/1996,20.67
01/01/1997,19.09
01/01/1998,12.72
01/01/1999,17.97
01/01/2000,28.5
01/01/2001,24.44
01/01/2002,25.02
01/01/2003,28.83
01/01/2004,38.27
01/01/2005,54.52
01/01/2006,65.14
01/01/2007,72.39
01/01/2008,97.26
01/01/2009,61.67
01/01/2010,79.5
01/01/2011,111.26
01/01/2012,111.65
01/01/2013,108.66
01/01/2014,99.02
01/01/2015,52.35
01/01/2016,43.55
01/01/2017,54.25
